config,dataset,model,gamma,seed,epoch,task_acc,concept_acc,urr_task,urr_nontask,leak_acc_task,leak_acc_nontask,ece,brier,map_concepts,auc_tti,nauc_tti,auc_tti_random,nauc_tti_random,interv_error_0,interv_error_full
awa2-arhcbm,awa2,ARCBM,,42,120,93.63643975550532,98.19435119628906,6.550275993452775,0.0,1.4208513956803541,0.0,0.016851715743541718,0.10445144772529602,0.9743069887161255,89.1631080967931,-0.0021225822657623752,89.1631080967931,-0.0021225822657623752,6.363560244494678,10.608724776019429
awa2-arhcbm,awa2,ARCBM,,43,120,93.96299087331491,98.25714874267578,6.502757687841598,0.0,1.4387572728670561,0.0,0.014457309618592262,0.09930203855037689,0.9762256860733032,90.25537972033828,-0.0017374194088587414,90.25537972033828,-0.0017374194088587414,6.037009126685092,9.511847944402575
awa2-arhcbm,awa2,ARCBM,,44,120,94.0299757179938,98.21443176269531,6.584848310163373,0.0,1.4431371138646052,0.0,0.013032954186201096,0.09890978038311005,0.9736435979604721,90.04060956208657,-0.0017709118311981912,90.04060956208657,-0.0017709118311981912,5.970024282006193,9.511847944402575
awa2-cbm,awa2,CBM,,42,120,94.42351168048229,98.90773010253906,6.544294417804808,0.0,1.4285805592170129,0.0,0.031071966513991356,0.088723324239254,0.9750247240066529,93.65695386418822,-0.006535208908984344,93.65695386418822,-0.006535208908984344,5.576488319517708,18.646906137486397
awa2-cbm,awa2,CBM,,43,120,94.44025789165201,98.91694641113281,6.56459754808985,0.0,1.4216249722700853,0.0,0.030319616198539734,0.08864632248878479,0.9763536274433136,95.18337101230847,-0.0028175500293058705,95.18337101230847,-0.0028175500293058705,5.55974210834799,11.194842166959731
awa2-cbm,awa2,CBM,,44,120,94.32303441346396,98.88929748535156,6.58161487738259,0.0,1.4442972036508412,0.0,0.03127288073301315,0.09004514664411545,0.9747731059789657,95.57355773256302,-0.0027589382902118444,95.57355773256302,-0.0027589382902118444,5.676965586536042,11.194842166959731
awa2-cem,awa2,CEM,,42,120,94.33978062463368,98.90271759033203,6.824768690061369,0.0,1.441720724105835,0.0,0.0328267440199852,0.09065160155296326,0.9744893401861191,,,,,,
awa2-cem,awa2,CEM,,43,120,94.39839236372771,98.94456481933594,6.850353035860689,0.0,1.4132517117720385,0.0,0.0326603502035141,0.0885009765625,0.9753059566020965,,,,,,
awa2-cem,awa2,CEM,,44,120,94.11370677384242,98.90689086914062,6.925224771466665,0.0,1.4254895540384145,0.0,0.034558095037937164,0.09302058070898056,0.9750408887863159,,,,,,
awa2-mcbm-005,awa2,MCBM (low g),0.05,42,120,94.18906472410617,98.9692611694336,6.700604417590163,0.0,1.4240727974818304,0.0,0.03144708275794983,0.09042444825172424,0.9669217199087143,94.44863099723688,-0.0017374194088587488,94.44863099723688,-0.0017374194088587488,5.810935275893826,9.285774093611323
awa2-mcbm-005,awa2,MCBM (low g),0.05,43,120,94.19743782969103,98.94288635253906,6.4533695230339845,0.0,1.4071972553546612,0.0,0.03143242001533508,0.09292596578598022,0.9683713614940643,93.20020095453404,-0.002591476178514611,93.20020095453404,-0.002591476178514611,5.802562170308974,10.985514527338196
awa2-mcbm-005,awa2,MCBM (low g),0.05,44,120,94.18069161852131,98.9328384399414,6.490813038070837,0.0,1.4091294545393724,0.0,0.0311659537255764,0.09220965206623077,0.9693926036357879,95.96290714225906,-0.0014527338189734564,95.96290714225906,-0.0014527338189734564,5.819308381478692,8.724776019425605
awa2-mcbm-01,awa2,MCBM (medium g),0.1,42,120,93.90437913422089,98.94205474853516,6.67572235317659,0.0,1.415699812082144,0.0,0.0324297770857811,0.09460650384426117,0.9687055557966232,93.68835301013146,-0.0015950766139161063,93.68835301013146,-0.0015950766139161063,6.095620865779111,9.285774093611323
awa2-mcbm-01,awa2,MCBM (medium g),0.1,43,120,94.36489994138826,98.99858093261719,6.432859746598386,0.0,1.413252170269306,0.0,0.03037409856915474,0.09100111573934555,0.9675127238035202,92.4679728711379,-0.002675207234363228,92.4679728711379,-0.002675207234363228,5.635100058611741,10.985514527338196
awa2-mcbm-01,awa2,MCBM (medium g),0.1,44,120,94.09696056267269,98.94414520263672,6.437981270446914,0.0,1.4096454473642201,0.0,0.03174633905291557,0.09445987641811371,0.9650302857160569,94.89366155907224,-0.0014108682910491481,94.89366155907224,-0.0014108682910491481,5.903039437327308,8.724776019425605
awa2-mcbm-03,awa2,MCBM (high g),0.3,42,120,93.93787155656032,98.96758270263672,6.550554371777142,0.0,1.4117060257838323,0.0,0.02925160713493824,0.0976545512676239,0.9685393631458282,94.17022523654023,-0.0016118228250858238,94.17022523654023,-0.0016118228250858238,6.062128443439676,9.285774093611323
awa2-mcbm-03,awa2,MCBM (high g),0.3,43,120,94.11370677384242,98.9876937866211,6.355859982230896,0.0,1.4088721458728497,0.0,0.02785128727555275,0.09475594758987427,0.966925111413002,94.52733818973458,-0.0014192413966340142,94.52733818973458,-0.0014192413966340142,5.886293226157576,8.724776019425605
awa2-mcbm-03,awa2,MCBM (high g),0.3,44,120,93.83739428954199,98.94749450683594,6.303188990365294,0.0,1.4060383576613207,0.0,0.028182942420244217,0.09850368648767471,0.9668210834264755,93.72896257221802,-0.0012810851544837972,93.72896257221802,-0.0012810851544837972,6.16260571045801,8.724776019425605
awa2-shcbm,awa2,SCBM,,42,120,85.74897429456585,98.96424865722656,4.909537255696686,0.0,1.1715908233936017,0.0,0.010219977237284184,0.19879727065563202,0.9756757855415344,89.80867453738591,0.00276312484300427,89.80867453738591,0.00276312484300427,14.251025705434145,8.724776019425605
awa2-shcbm,awa2,SCBM,,43,120,85.84945156158419,98.93075561523438,4.931747497003826,0.0,1.1562613340524526,0.0,0.009136507287621498,0.19795657694339752,0.9742246448993683,89.72075692874488,0.0027128862094951034,89.72075692874488,0.0027128862094951034,14.150548438415811,8.724776019425605
awa2-shcbm,awa2,SCBM,,44,120,85.70710876664155,98.92405700683594,4.525305618351613,0.0,1.1198062163132887,0.0,0.011546031571924686,0.19918875396251678,0.9733617722988128,89.76764632002009,0.002784057606966421,89.76764632002009,0.002784057606966421,14.292891233358446,8.724776019425605
awa2-vanilla,awa2,Vanilla,,42,120,94.5742275810098,,6.534767284479541,0.0,1.4240725223834698,0.0,0.03100360557436943,0.08557070046663284,,,,,,,
awa2-vanilla,awa2,Vanilla,,43,120,94.33140751904881,,6.5661693197259225,0.0,1.4189200217907245,0.0,0.031966790556907654,0.08834656327962875,,,,,,,
awa2-vanilla,awa2,Vanilla,,44,120,94.50724273633091,,6.571762401147454,0.0,1.4303846542651837,0.0,0.030267324298620224,0.08747749775648117,,,,,,,
cifar10-arhcbm,cifar10,ARCBM,,42,200,68.5,84.44500732421875,17.05881864779628,0.0,-0.530000276203397,0.0,0.15870064496994019,0.4775904715061188,0.8630180136533454,69.088125,-3.7499999999999204e-05,69.088125,-3.7499999999999204e-05,31.5,31.739999999999995
cifar10-arhcbm,cifar10,ARCBM,,43,200,68.25,84.53389739990234,18.06550853690442,0.0,-0.6821519966366925,0.0,0.17451006174087524,0.49100005626678467,0.8471786152222194,71.70453125,0.0005484375000000007,71.70453125,0.0005484375000000007,31.75,28.239999999999995
cifar10-arhcbm,cifar10,ARCBM,,44,200,69.7,84.1148452758789,19.244100903360454,0.0,-0.4553161844422546,0.0,0.15435945987701416,0.4623132348060608,0.8144310095813125,72.0125,0.0003234374999999989,72.0125,0.0003234374999999989,30.299999999999997,28.230000000000004
cifar10-cbm,cifar10,CBM,,42,200,73.56,84.9348373413086,17.910306191914643,0.0,-0.4397467721866656,0.0,0.18032675981521606,0.43570971488952637,0.8697775525506586,72.17734375,-0.0017515625,72.17734375,-0.0017515625,26.439999999999998,37.65
cifar10-cbm,cifar10,CBM,,43,200,73.88,84.77438354492188,18.004947527280386,0.0,-0.6164558326141744,0.0,0.1850062757730484,0.43466246128082275,0.8513714199652895,74.51875,-0.0010124999999999984,74.51875,-0.0010124999999999984,26.120000000000005,32.599999999999994
cifar10-cbm,cifar10,CBM,,44,200,73.9,84.5106201171875,19.3391552247254,0.0,-0.5455693866633162,0.0,0.18329471349716187,0.4327556788921356,0.8192980849999003,75.30875,-0.0012953125000000009,75.30875,-0.0012953125000000009,26.099999999999994,34.39
cifar10-cem,cifar10,CEM,,42,200,73.25,84.82172393798828,25.810944734767588,0.0,-0.7211391684375231,0.0,0.19354596734046936,0.44816264510154724,0.8686933430144563,,,,,,
cifar10-cem,cifar10,CEM,,43,200,73.33,84.85093688964844,26.764637200326025,0.0,-0.7974681974966314,0.0,0.19226202368736267,0.4489782750606537,0.8511463459581137,,,,,,
cifar10-cem,cifar10,CEM,,44,200,73.3,84.5296630859375,27.771946507409123,0.0,-0.6360759463491319,0.0,0.19363510608673096,0.4468170404434204,0.8189002629369497,,,,,,
cifar10-mcbm-01,cifar10,MCBM (low g),0.1,42,200,72.04,85.16140747070312,17.166541479559694,0.0,-0.6574685060525243,0.0,0.10049371421337128,0.3973887860774994,0.8662333836546168,74.91953125,0.00033906249999999806,74.91953125,0.00033906249999999806,27.959999999999994,25.790000000000006
cifar10-mcbm-01,cifar10,MCBM (low g),0.1,43,200,72.14,84.9168930053711,17.18083212007179,0.0,-0.8165818980977505,0.0,0.10735053569078445,0.40771403908729553,0.8418486267328262,75.4503125,0.0004328124999999994,75.4503125,0.0004328124999999994,27.86,25.090000000000003
cifar10-mcbm-01,cifar10,MCBM (low g),0.1,44,200,72.48,84.66218566894531,18.673232917012147,0.0,-0.6448099130316626,0.0,0.10733678936958313,0.39836353063583374,0.816439057525713,75.4615625,0.00046249999999999904,75.4615625,0.00046249999999999904,27.519999999999996,24.560000000000002
cifar10-mcbm-03,cifar10,MCBM (medium g),0.3,42,200,69.87,85.08030700683594,17.201535239919473,0.0,-0.6325321106971065,0.0,0.03709712252020836,0.4085283577442169,0.865533743519336,74.08453125,0.0007093749999999987,74.08453125,0.0007093749999999987,30.129999999999995,25.590000000000003
cifar10-mcbm-03,cifar10,MCBM (medium g),0.3,43,200,69.43,84.93204498291016,17.59615424453863,0.0,-0.782404670232459,0.0,0.05441544950008392,0.41530171036720276,0.8426792823593132,74.51859375000001,0.0008499999999999996,74.51859375000001,0.0008499999999999996,30.569999999999993,25.129999999999995
cifar10-mcbm-03,cifar10,MCBM (medium g),0.3,44,200,70.85,84.58280944824219,18.453660157650653,0.0,-0.6500001195110853,0.0,0.03978202864527702,0.3995431065559387,0.8148906407004688,74.9446875,0.0007671875000000017,74.9446875,0.0007671875000000017,29.150000000000006,24.239999999999995
cifar10-mcbm-05,cifar10,MCBM (high g),0.5,42,200,69.47,85.13593292236328,16.787580241054055,0.0,-0.6464556802677203,0.0,0.012964481487870216,0.4114234447479248,0.8658640768262558,74.08203125,0.0008046875000000009,74.08203125,0.0008046875000000009,30.53,25.379999999999995
cifar10-mcbm-05,cifar10,MCBM (high g),0.5,43,200,68.67,84.88188934326172,17.584738630425452,0.0,-0.8135443246817287,0.0,0.03239121660590172,0.4239519536495209,0.8413863640744239,74.3725,0.0010062499999999995,74.3725,0.0010062499999999995,31.33,24.89
cifar10-mcbm-05,cifar10,MCBM (high g),0.5,44,200,70.03,84.6578140258789,18.552891571729837,0.0,-0.619366878195654,0.0,0.023010127246379852,0.4086366295814514,0.8140854324446991,74.62421875,0.0008781250000000008,74.62421875,0.0008781250000000008,29.97,24.349999999999994
cifar10-shcbm,cifar10,SCBM,,42,200,58.93,84.40328216552734,16.59753066353169,0.0,-0.6849368916282171,0.0,0.031069524586200714,0.5410711765289307,0.8646149975247681,70.2071875,0.0024015624999999996,70.2071875,0.0024015624999999996,41.07,25.700000000000003
cifar10-shcbm,cifar10,SCBM,,43,200,59.74,84.35248565673828,17.76464685354775,0.0,-0.8351894119117833,0.0,0.049783818423748016,0.5366457104682922,0.8463123253313825,71.50015625,0.0024734374999999986,71.50015625,0.0024734374999999986,40.26,24.430000000000007
cifar10-shcbm,cifar10,SCBM,,44,200,60.68,83.96548461914062,19.135608061455084,0.0,-0.7450630393209337,0.0,0.035740576684474945,0.5254099369049072,0.8123609496979043,71.6878125,0.0024078125000000007,71.6878125,0.0024078125000000007,39.32,23.909999999999997
cifar10-vanilla,cifar10,Vanilla,,42,200,71.34,,19.3154997736665,0.0,-0.7558228848855707,0.0,0.2193058282136917,0.48980507254600525,,,,,,,
cifar10-vanilla,cifar10,Vanilla,,43,200,71.4,,20.15380979179898,0.0,-0.8753164659572553,0.0,0.2213304340839386,0.4911997616291046,,,,,,,
cifar10-vanilla,cifar10,Vanilla,,44,200,71.44,,20.897671075391287,0.0,-0.7545565502553047,0.0,0.22198425233364105,0.490550696849823,,,,,,,
cub12-arhcbm,cub12,ARCBM,,42,250,74.68070417673455,96.3076171875,0.4050301559651426,0.0,0.030004061185396634,0.0,0.06494998931884766,0.36317548155784607,0.9526180358643227,81.30249683580716,0.009808997813830397,81.30249683580716,0.009808997813830397,25.31929582326545,13.548498446668972
cub12-arhcbm,cub12,ARCBM,,43,250,74.09389023127373,96.42445373535156,-0.16069974729787084,0.0,-0.03319107569181002,0.0,0.06856180727481842,0.3716990351676941,0.9534106860558192,83.09026579219885,0.012325969393625584,83.09026579219885,0.012325969393625584,25.906109768726267,11.114946496375566
cub12-arhcbm,cub12,ARCBM,,44,250,73.69692785640318,96.19825744628906,0.2897167186794673,0.0,0.04269355221798545,0.0,0.06885841488838196,0.38099658489227295,0.9527030890638178,81.44632378322403,0.011103440340582213,81.44632378322403,0.011103440340582213,26.30307214359682,12.978943734898166
cub12-cbm,cub12,CBM,,42,250,77.49395926820849,96.3994369506836,0.23610851653984577,0.0,0.010620630704439603,0.0,0.140193372964859,0.35609135031700134,0.9512066346533755,79.9505235300886,-0.001740306063744098,79.9505235300886,-0.001740306063744098,22.506040731791515,24.594408008284432
cub12-cbm,cub12,CBM,,43,250,77.90818087676907,96.47335815429688,-0.2569375473715887,0.0,-0.03119901968882634,0.0,0.13395750522613525,0.3510870337486267,0.9537919272979101,77.28397192497985,-0.004962029685881942,77.28397192497985,-0.004962029685881942,22.091819123230934,28.046254746289264
cub12-cbm,cub12,CBM,,44,250,76.51018294787711,96.19542694091797,0.3241333673749715,0.0,0.028159743861148234,0.0,0.14353765547275543,0.36760613322257996,0.9499001622200012,77.17897825336554,-0.005407893222874236,77.17897825336554,-0.005407893222874236,23.489817052122888,29.97928891957197
cub12-cem,cub12,CEM,,42,250,77.40766309975837,96.3579330444336,-0.23070374909399294,0.0,-0.18613457679748535,0.0,0.1386728584766388,0.3576064705848694,0.951722799463475,,,,,,
cub12-cem,cub12,CEM,,43,250,76.95892302381775,96.46070098876953,-0.8428924511153195,0.0,-0.22802135119071373,0.0,0.1410527527332306,0.36510780453681946,0.9530282586812973,,,,,,
cub12-cem,cub12,CEM,,44,250,75.52640662754574,96.21708679199219,0.06027881785442995,0.0,-0.15018571887099952,0.0,0.15272840857505798,0.38420891761779785,0.9507546294819225,,,,,,
cub12-mcbm-005,cub12,MCBM (low g),0.05,42,250,78.33966171901967,96.73469543457031,-0.24895749751372723,0.0,-0.22330843485318697,0.0,0.10010775923728943,0.32247647643089294,0.9443050217121205,82.8069267057876,0.0049044989069151985,82.8069267057876,0.0049044989069151985,21.660338280980326,15.774939592682088
cub12-mcbm-005,cub12,MCBM (low g),0.05,43,250,77.7183293061788,96.48429107666016,-0.7788821050844709,0.0,-0.20511952730325553,0.0,0.10769777745008469,0.3331860601902008,0.9424790352582931,85.54107697618225,0.007781037855252558,85.54107697618225,0.007781037855252558,22.281670693821198,12.944425267518127
cub12-mcbm-005,cub12,MCBM (low g),0.05,44,250,76.51018294787711,94.65153503417969,-0.31211232514726317,0.0,-0.21528633017289012,0.0,0.1126229465007782,0.3532369136810303,0.9262319682673974,85.33540444137613,0.0066879530548843635,85.33540444137613,0.0066879530548843635,23.489817052122888,15.464273386261652
cub12-mcbm-01,cub12,MCBM (medium g),0.1,42,250,77.2868484639282,96.67374420166016,-0.31960830972723797,0.0,-0.24561295142540565,0.0,0.09972678124904633,0.33272111415863037,0.9413598027635128,84.58318950638592,0.007033137728684847,84.58318950638592,0.007033137728684847,22.713151536071805,14.27338626164999
